Day,Endpoint,Method,Value
1,/price,GET,2.6878017175197604
2,/price,GET,2.2376311105489735
3,/price,GET,2.4457453680038457
4,/price,GET,2.545117275118828
5,/price,GET,2.321969560980797
6,/price,GET,2.5774603986740114
7,/price,GET,2.380724515318871
8,/price,GET,2.490647205412388
9,/price,GET,2.4491990923881533
10,/price,GET,2.4403747254610066
11,/price,GET,2.4736855283379557
12,/price,GET,2.436646029651165
13,/price,GET,2.4661448571085933
14,/price,GET,2.447962836325169
15,/price,GET,2.4558285954594616
16,/price,GET,2.455612217187882
17,/price,GET,2.4516808247566226
18,/price,GET,2.456765639781952
19,/price,GET,2.452352861464024
20,/price,GET,2.455291441977024
21,/price,GET,2.4538807448744775
22,/price,GET,2.454116009771824
23,/price,GET,2.4545654222369198
24,/price,GET,2.453869145214558
25,/price,GET,2.45452140301466
26,/price,GET,2.454057119190693
27,/price,GET,2.4543039837479594
28,/price,GET,2.454234980642796
29,/price,GET,2.454191853702069
30,/price,GET,2.4542834612727167
31,/price,GET,2.454189028143883
32,/price,GET,2.4542611542344095
33,/price,GET,2.454219217002392
34,/price,GET,2.4542343857884408
35,/price,GET,2.4542372113466264
36,/price,GET,2.4542257604002957
37,/price,GET,2.4542389959096913
38,/price,GET,2.454228288531304
39,/price,GET,2.454234980642796
40,/price,GET,2.4542318576574327
41,/price,GET,2.4542321550846102
42,/price,GET,2.45423334479332
43,/price,GET,2.454231708943844
44,/price,GET,2.4542331960797314
45,/price,GET,2.454232303798199
46,/price,GET,2.4542326012253763
47,/price,GET,2.4542326012253763
48,/price,GET,2.454232303798199
49,/price,GET,2.4542327499389653
50,/price,GET,2.454232303798199
51,/price,GET,2.4542326012253763
52,/price,GET,2.4542326012253763
53,/price,GET,2.4542326012253763
54,/price,GET,2.4542326012253763
55,/price,GET,2.4542326012253763
56,/price,GET,2.454232303798199
57,/price,GET,2.4542326012253763
58,/price,GET,2.4542326012253763
59,/price,GET,2.454232452511788
60,/price,GET,2.4542326012253763
61,/price,GET,2.4542326012253763
62,/price,GET,2.4542327499389653
63,/price,GET,2.4542326012253763
64,/price,GET,2.4542326012253763
65,/price,GET,2.4542326012253763
66,/price,GET,2.454232452511788
67,/price,GET,2.4542326012253763
68,/price,GET,2.454232452511788
69,/price,GET,2.454232452511788
70,/price,GET,2.4542326012253763
71,/price,GET,2.4542326012253763
72,/price,GET,2.4542326012253763
73,/price,GET,2.454232303798199
74,/price,GET,2.4542326012253763
75,/price,GET,2.4542326012253763
76,/price,GET,2.4542326012253763
77,/price,GET,2.4542326012253763
78,/price,GET,2.4542326012253763
79,/price,GET,2.4542326012253763
80,/price,GET,2.454232303798199
81,/price,GET,2.454232452511788
82,/price,GET,2.4542326012253763
83,/price,GET,2.4542327499389653
84,/price,GET,2.4542326012253763
85,/price,GET,2.4542326012253763
86,/price,GET,2.4542326012253763
87,/price,GET,2.454232452511788
88,/price,GET,2.4542327499389653
89,/price,GET,2.4542327499389653
90,/price,GET,2.4542326012253763
91,/price,GET,2.4542327499389653
92,/price,GET,2.4542327499389653
93,/price,GET,2.4542327499389653
94,/price,GET,2.4542326012253763
95,/price,GET,2.4542326012253763
96,/price,GET,2.4542326012253763
97,/price,GET,2.4542326012253763
98,/price,GET,2.4542326012253763
99,/price,GET,2.4542326012253763
100,/price,GET,2.4542326012253763
101,/price,GET,2.4542326012253763
102,/price,GET,2.4542327499389653
103,/price,GET,2.4542326012253763
104,/price,GET,2.4542326012253763
105,/price,GET,2.454232452511788
106,/price,GET,2.4542327499389653
107,/price,GET,2.4542326012253763
108,/price,GET,2.4542327499389653
109,/price,GET,2.4542326012253763
110,/price,GET,2.4542326012253763
111,/price,GET,2.4542326012253763
112,/price,GET,2.4542326012253763
113,/price,GET,2.4542326012253763
114,/price,GET,2.4542326012253763
115,/price,GET,2.4542326012253763
116,/price,GET,2.4542326012253763
117,/price,GET,2.4542326012253763
118,/price,GET,2.4542326012253763
119,/price,GET,2.4542326012253763
120,/price,GET,2.4542327499389653
121,/price,GET,2.4542326012253763
122,/price,GET,2.4542327499389653
123,/price,GET,2.4542326012253763
124,/price,GET,2.4542327499389653
125,/price,GET,2.4542327499389653
126,/price,GET,2.454232452511788
127,/price,GET,2.4542326012253763
128,/price,GET,2.4542326012253763
129,/price,GET,2.4542326012253763
130,/price,GET,2.4542326012253763
131,/price,GET,2.454232452511788
132,/price,GET,2.4542326012253763
133,/price,GET,2.4542326012253763
134,/price,GET,2.4542326012253763
135,/price,GET,2.4542326012253763
136,/price,GET,2.454232452511788
137,/price,GET,2.4542326012253763
138,/price,GET,2.454232303798199
139,/price,GET,2.4542326012253763
140,/price,GET,2.4542327499389653
141,/price,GET,2.4542327499389653
142,/price,GET,2.4542326012253763
143,/price,GET,2.4542326012253763
144,/price,GET,2.4542326012253763
145,/price,GET,2.4542326012253763
146,/price,GET,2.4542326012253763
147,/price,GET,2.454232452511788
148,/price,GET,2.4542326012253763
149,/price,GET,2.454232303798199
150,/price,GET,2.454232452511788
151,/price,GET,2.454232452511788
152,/price,GET,2.4542326012253763
153,/price,GET,2.4542326012253763
154,/price,GET,2.4542326012253763
155,/price,GET,2.4542326012253763
156,/price,GET,2.4542326012253763
157,/price,GET,2.4542326012253763
158,/price,GET,2.4542326012253763
159,/price,GET,2.4542326012253763
160,/price,GET,2.4542326012253763
161,/price,GET,2.4542326012253763
162,/price,GET,2.4542326012253763
163,/price,GET,2.4542326012253763
164,/price,GET,2.4542326012253763
165,/price,GET,2.4542326012253763
166,/price,GET,2.4542327499389653
167,/price,GET,2.4542326012253763
168,/price,GET,2.4542327499389653
169,/price,GET,2.4542326012253763
170,/price,GET,2.4542327499389653
171,/price,GET,2.4542326012253763
172,/price,GET,2.454232452511788
173,/price,GET,2.4542326012253763
174,/price,GET,2.4542326012253763
175,/price,GET,2.454232303798199
176,/price,GET,2.4542326012253763
177,/price,GET,2.4542326012253763
178,/price,GET,2.4542326012253763
179,/price,GET,2.4542326012253763
1,/price,PUT,2.621683157682419
2,/price,PUT,2.369445578455925
3,/price,PUT,2.4769655030965807
4,/price,PUT,2.522341290712357
5,/price,PUT,2.4847395059466364
6,/price,PUT,2.4587436270713807
7,/price,PUT,2.464278449416161
8,/price,PUT,2.468699109554291
9,/price,PUT,2.467699754238129
10,/price,PUT,2.465266502499581
11,/price,PUT,2.468288660049439
12,/price,PUT,2.4691672599315644
13,/price,PUT,2.469445205628872
14,/price,PUT,2.46894448697567
15,/price,PUT,2.4688725095987323
16,/price,PUT,2.4688464847207072
17,/price,PUT,2.4688316133618358
18,/price,PUT,2.4687584462761882
19,/price,PUT,2.468759041130543
