Day,Value
1,99.65719683408737
2,99.65784819960595
3,99.65768431723119
4,99.6566338044405
5,99.65640240609646
6,99.65640091896057
7,99.65609248697758
8,99.65586525261402
9,99.65595596790314
10,99.65600801765919
11,99.65600415110589
12,99.6560092073679
13,99.65601277649402
14,99.65601158678533
15,99.65601158678533
16,99.65601069450379
17,99.65600980222226
18,99.65600950479508
19,99.65600950479508
20,99.65601009964944
21,99.65601009964944
22,99.65600980222226
23,99.65601009964944
24,99.65600980222226
25,99.65601009964944
26,99.65601009964944
27,99.65600980222226
28,99.65601009964944
29,99.65600980222226
30,99.65601009964944
31,99.65601009964944
32,99.65600950479508
33,99.65601009964944
34,99.65601009964944
35,99.65601009964944
36,99.65601009964944
37,99.65601009964944
38,99.65601009964944
39,99.65600950479508
40,99.65601009964944
41,99.65600980222226
42,99.65601009964944
43,99.65600980222226
44,99.65600950479508
45,99.65601009964944
46,99.65600980222226
47,99.65600980222226
48,99.65600980222226
49,99.65601009964944
50,99.65600950479508
51,99.65601009964944
52,99.65601009964944
53,99.65600980222226
54,99.65601009964944
55,99.65601009964944
56,99.65601009964944
57,99.65601039707661
58,99.65601009964944
59,99.65601009964944
60,99.65600980222226
61,99.65601039707661
62,99.65600950479508
63,99.65600980222226
64,99.65601009964944
65,99.65601009964944
66,99.65601009964944
67,99.65600980222226
68,99.65601009964944
69,99.65601009964944
70,99.65601009964944
71,99.65600980222226
72,99.65600950479508
73,99.65601009964944
74,99.65601009964944
75,99.65600980222226
76,99.65601009964944
77,99.65600980222226
78,99.65600950479508
79,99.65601009964944
80,99.65600980222226
81,99.65601009964944
82,99.65600950479508
83,99.65601009964944
84,99.65600980222226
85,99.65600980222226
86,99.65600950479508
87,99.65600980222226
88,99.65600980222226
89,99.65600980222226
90,99.65601009964944
91,99.65601009964944
92,99.65601009964944
93,99.65600950479508
94,99.65600950479508
95,99.65600980222226
96,99.65600980222226
97,99.65600980222226
98,99.65601009964944
99,99.65600980222226
100,99.65601009964944
101,99.65601009964944
102,99.65601009964944
103,99.65600950479508
104,99.65601009964944
105,99.65601009964944
106,99.65600980222226
107,99.65601009964944
108,99.65600980222226
109,99.65601009964944
110,99.65600980222226
111,99.65601009964944
112,99.65600950479508
113,99.65601009964944
114,99.65600980222226
115,99.65601009964944
116,99.65601009964944
117,99.65600950479508
118,99.65600980222226
119,99.65601009964944
120,99.65601009964944
121,99.65601009964944
122,99.65601009964944
123,99.65600980222226
124,99.65600980222226
125,99.65601009964944
126,99.65600980222226
127,99.65601009964944
128,99.65601009964944
129,99.65600980222226
130,99.65601009964944
131,99.65600980222226
132,99.65601009964944
133,99.65601009964944
134,99.65601009964944
135,99.65600980222226
136,99.65601009964944
137,99.65601009964944
138,99.65600980222226
139,99.65601009964944
140,99.65601009964944
141,99.65601009964944
142,99.65600980222226
143,99.65600980222226
144,99.65601009964944
145,99.65600980222226
146,99.65601039707661
147,99.65600980222226
148,99.65601009964944
149,99.65601009964944
150,99.65600950479508
151,99.65601009964944
152,99.65600980222226
153,99.65601009964944
154,99.65600980222226
155,99.65600980222226
156,99.65601009964944
157,99.65600980222226
158,99.65601009964944
159,99.65601009964944
160,99.65601009964944
161,99.65601009964944
162,99.65600980222226
163,99.65601009964944
164,99.65601009964944
165,99.65600950479508
166,99.65601009964944
167,99.65601009964944
168,99.65601009964944
169,99.65600980222226
170,99.65600950479508
171,99.65600980222226
172,99.65601009964944
173,99.65601009964944
174,99.65600980222226
175,99.65601009964944
176,99.65601009964944
177,99.65600980222226
178,99.65601009964944
179,99.65600980222226
