Day,uptime_percent
1,4.6124785508783885
2,4.612445746492781
3,4.612459667027981
4,4.612452910666023
5,4.612486539959987
6,4.612462091508051
7,4.61246161030091
8,4.612461686876828
9,4.612460959532807
10,4.612463992804147
11,4.612462424142645
12,4.612462987141008
13,4.6124626195257195
14,4.6124627495266965
15,4.612462818597667
16,4.612462772295949
17,4.6124627708967205
18,4.612462745074609
19,4.612462765681418
20,4.612462760974924
21,4.612462768225468
22,4.612462762755759
23,4.612462762501354
24,4.612462763010164
25,4.612462763010164
26,4.6124627637733795
27,4.612462763391772
28,4.6124627631373665
29,4.612462763010164
30,4.61246276326457
31,4.612462763391772
32,4.612462763391772
33,4.612462763391772
34,4.612462763391772
35,4.61246276326457
36,4.612462763391772
37,4.61246276326457
38,4.612462763391772
39,4.612462763391772
40,4.61246276326457
41,4.612462763391772
42,4.612462763391772
43,4.61246276326457
44,4.612462763391772
45,4.612462763391772
46,4.612462763391772
47,4.61246276326457
48,4.612462763391772
49,4.61246276326457
50,4.612462763391772
51,4.612462763391772
52,4.612462763391772
53,4.61246276326457
54,4.61246276326457
55,4.61246276326457
56,4.61246276326457
57,4.61246276326457
58,4.61246276326457
59,4.612462763391772
60,4.612462763391772
61,4.61246276326457
62,4.61246276326457
63,4.61246276326457
64,4.612462763391772
65,4.612462763391772
66,4.612462763391772
67,4.61246276326457
68,4.612462763391772
69,4.61246276326457
70,4.612462763391772
71,4.61246276326457
72,4.612462763391772
73,4.612462763391772
74,4.612462763391772
75,4.61246276326457
76,4.61246276326457
77,4.612462763391772
78,4.612462763391772
79,4.612462763391772
80,4.612462763391772
81,4.6124627631373665
82,4.612462763391772
83,4.61246276326457
84,4.61246276326457
85,4.612462763391772
86,4.612462763391772
87,4.61246276326457
88,4.61246276326457
89,4.612462763391772
90,4.61246276326457
91,4.612462763391772
92,4.61246276326457
93,4.612462763391772
94,4.612462763391772
95,4.61246276326457
96,4.61246276326457
97,4.612462763391772
98,4.612462763391772
99,4.61246276326457
100,4.61246276326457
101,4.61246276326457
102,4.612462763391772
103,4.61246276326457
104,4.612462763391772
105,4.612462763391772
106,4.612462763391772
107,4.612462763391772
108,4.612462763391772
109,4.61246276326457
110,4.61246276326457
111,4.61246276326457
112,4.61246276326457
113,4.61246276326457
114,4.61246276326457
115,4.612462763391772
116,4.612462763391772
117,4.61246276326457
118,4.61246276326457
119,4.612462763391772
120,4.612462763391772
121,4.61246276326457
122,4.612462763391772
123,4.61246276326457
124,4.612462763391772
125,4.612462763391772
126,4.612462763391772
127,4.612462763391772
128,4.61246276326457
129,4.61246276326457
130,4.61246276326457
131,4.612462763391772
132,4.61246276326457
133,4.612462763391772
134,4.61246276326457
135,4.612462763391772
136,4.612462763391772
137,4.612462763391772
138,4.61246276326457
139,4.612462763391772
140,4.61246276326457
141,4.61246276326457
142,4.61246276326457
143,4.61246276326457
144,4.612462763391772
145,4.612462763391772
146,4.61246276326457
147,4.612462763391772
148,4.612462763391772
149,4.6124627631373665
150,4.612462763391772
151,4.6124627631373665
152,4.612462763391772
153,4.61246276326457
154,4.61246276326457
155,4.612462763391772
156,4.612462763391772
157,4.61246276326457
158,4.612462763391772
159,4.612462763391772
160,4.612462763391772
161,4.612462763391772
162,4.612462763391772
163,4.612462763391772
164,4.612462763391772
165,4.612462763391772
166,4.61246276326457
167,4.61246276326457
168,4.61246276326457
169,4.612462763391772
170,4.612462763391772
171,4.612462763391772
172,4.61246276326457
173,4.612462763391772
174,4.612462763391772
175,4.61246276326457
176,4.612462763391772
177,4.612462763391772
178,4.612462763391772
179,4.61246276326457
180,4.612462763391772
