Day,Type,Value
1,CPU,52.033469104766844
2,CPU,51.79820665121078
3,CPU,51.6362858235836
4,CPU,51.62867596745491
5,CPU,51.54133530259132
6,CPU,51.53765541911125
7,CPU,51.59276435375214
8,CPU,51.60264883041382
9,CPU,51.607096844911574
10,CPU,51.60131502151489
11,CPU,51.598242497444154
12,CPU,51.59506279230118
13,CPU,51.59458047747612
14,CPU,51.595723742246626
15,CPU,51.59654546380043
16,CPU,51.59698609709739
17,CPU,51.596771734952924
18,CPU,51.59652164578438
19,CPU,51.59640851020813
20,CPU,51.59642637372017
21,CPU,51.59647996425628
22,CPU,51.59650973677635
23,CPU,51.596515691280366
24,CPU,51.596503782272336
25,CPU,51.596497827768324
26,CPU,51.596497827768324
27,CPU,51.596497827768324
28,CPU,51.59649187326431
29,CPU,51.59649187326431
30,CPU,51.596497827768324
31,CPU,51.596497827768324
32,CPU,51.596497827768324
33,CPU,51.596497827768324
34,CPU,51.596497827768324
35,CPU,51.596497827768324
36,CPU,51.596497827768324
37,CPU,51.596497827768324
38,CPU,51.596497827768324
39,CPU,51.596497827768324
40,CPU,51.596497827768324
41,CPU,51.596497827768324
42,CPU,51.596497827768324
43,CPU,51.596497827768324
44,CPU,51.596497827768324
45,CPU,51.596497827768324
46,CPU,51.596497827768324
47,CPU,51.596497827768324
48,CPU,51.596497827768324
49,CPU,51.596497827768324
50,CPU,51.596497827768324
51,CPU,51.596497827768324
52,CPU,51.596497827768324
53,CPU,51.596497827768324
54,CPU,51.596497827768324
55,CPU,51.596497827768324
56,CPU,51.596497827768324
57,CPU,51.596497827768324
58,CPU,51.596497827768324
59,CPU,51.596497827768324
60,CPU,51.596497827768324
61,CPU,51.596497827768324
62,CPU,51.596497827768324
63,CPU,51.596497827768324
64,CPU,51.596497827768324
65,CPU,51.596497827768324
66,CPU,51.596497827768324
67,CPU,51.596497827768324
68,CPU,51.596497827768324
69,CPU,51.596497827768324
70,CPU,51.596497827768324
71,CPU,51.596497827768324
72,CPU,51.596497827768324
73,CPU,51.596497827768324
74,CPU,51.596497827768324
75,CPU,51.596497827768324
76,CPU,51.596497827768324
77,CPU,51.596497827768324
78,CPU,51.596497827768324
79,CPU,51.596497827768324
80,CPU,51.596497827768324
81,CPU,51.596497827768324
82,CPU,51.596497827768324
83,CPU,51.596497827768324
84,CPU,51.596497827768324
85,CPU,51.596497827768324
86,CPU,51.596497827768324
87,CPU,51.596497827768324
88,CPU,51.596497827768324
89,CPU,51.596497827768324
90,CPU,51.596497827768324
91,CPU,51.596497827768324
92,CPU,51.596497827768324
93,CPU,51.596497827768324
94,CPU,51.596497827768324
95,CPU,51.596497827768324
96,CPU,51.596497827768324
97,CPU,51.596497827768324
98,CPU,51.596497827768324
99,CPU,51.596497827768324
100,CPU,51.596497827768324
101,CPU,51.596497827768324
102,CPU,51.596497827768324
103,CPU,51.596497827768324
104,CPU,51.596497827768324
105,CPU,51.596497827768324
106,CPU,51.596497827768324
107,CPU,51.596497827768324
108,CPU,51.596497827768324
109,CPU,51.596497827768324
110,CPU,51.596497827768324
111,CPU,51.596497827768324
112,CPU,51.596497827768324
113,CPU,51.596497827768324
114,CPU,51.596497827768324
115,CPU,51.596497827768324
116,CPU,51.596497827768324
117,CPU,51.596497827768324
118,CPU,51.596497827768324
119,CPU,51.596497827768324
120,CPU,51.596497827768324
121,CPU,51.596497827768324
122,CPU,51.596497827768324
123,CPU,51.596497827768324
124,CPU,51.596497827768324
125,CPU,51.596497827768324
126,CPU,51.596497827768324
127,CPU,51.596497827768324
128,CPU,51.596497827768324
129,CPU,51.596497827768324
130,CPU,51.596497827768324
131,CPU,51.596497827768324
132,CPU,51.596497827768324
133,CPU,51.596497827768324
134,CPU,51.596497827768324
135,CPU,51.596497827768324
136,CPU,51.596497827768324
137,CPU,51.596497827768324
138,CPU,51.596497827768324
139,CPU,51.596497827768324
140,CPU,51.596497827768324
141,CPU,51.596497827768324
142,CPU,51.596497827768324
143,CPU,51.596497827768324
144,CPU,51.596497827768324
145,CPU,51.596497827768324
146,CPU,51.596497827768324
147,CPU,51.596497827768324
148,CPU,51.596497827768324
149,CPU,51.596497827768324
150,CPU,51.596497827768324
151,CPU,51.596497827768324
152,CPU,51.596497827768324
153,CPU,51.596497827768324
154,CPU,51.596497827768324
155,CPU,51.596497827768324
156,CPU,51.596497827768324
157,CPU,51.596497827768324
158,CPU,51.596497827768324
159,CPU,51.596497827768324
160,CPU,51.596497827768324
161,CPU,51.596497827768324
162,CPU,51.596497827768324
163,CPU,51.596497827768324
164,CPU,51.596497827768324
165,CPU,51.596497827768324
166,CPU,51.596497827768324
167,CPU,51.596497827768324
168,CPU,51.596497827768324
169,CPU,51.596497827768324
170,CPU,51.596497827768324
171,CPU,51.596497827768324
172,CPU,51.596497827768324
173,CPU,51.596497827768324
174,CPU,51.596497827768324
175,CPU,51.596497827768324
176,CPU,51.596497827768324
177,CPU,51.596497827768324
178,CPU,51.596497827768324
179,CPU,51.596497827768324
1,Disk,46.36458545923233
2,Disk,46.52675062417984
3,Disk,46.567975878715515
4,Disk,46.9574499130249
5,Disk,47.18840152025223
6,Disk,47.223618030548096
7,Disk,47.34275430440903
8,Disk,47.398834228515625
9,Disk,47.47700870037079
10,Disk,47.49570369720459
11,Disk,47.49429017305374
12,Disk,47.48824596405029
13,Disk,47.48545438051224
14,Disk,47.48790144920349
15,Disk,47.48776972293854
16,Disk,47.48635113239288
17,Disk,47.48545438051224
18,Disk,47.48561143875122
19,Disk,47.48612821102142
20,Disk,47.486335933208466
21,Disk,47.48626500368118
22,Disk,47.48617887496948
23,Disk,47.48614341020584
24,Disk,47.486163675785065
25,Disk,47.48617887496948
26,Disk,47.48617887496948
27,Disk,47.48617887496948
28,Disk,47.48617380857468
29,Disk,47.48616874217987
30,Disk,47.48617380857468
31,Disk,47.48617887496948
32,Disk,47.48617380857468
33,Disk,47.48617380857468
34,Disk,47.48617380857468
35,Disk,47.48617380857468
36,Disk,47.48617380857468
37,Disk,47.48617380857468
38,Disk,47.48617380857468
39,Disk,47.48617380857468
40,Disk,47.48617380857468
41,Disk,47.48617380857468
42,Disk,47.48617380857468
43,Disk,47.48617380857468
44,Disk,47.48617380857468
45,Disk,47.48617380857468
46,Disk,47.48617380857468
47,Disk,47.48617380857468
48,Disk,47.48617380857468
49,Disk,47.48617380857468
50,Disk,47.48617380857468
51,Disk,47.48617380857468
52,Disk,47.48617887496948
53,Disk,47.48617380857468
54,Disk,47.48617380857468
55,Disk,47.48617887496948
56,Disk,47.48617887496948
57,Disk,47.48617380857468
58,Disk,47.48617380857468
59,Disk,47.48617380857468
60,Disk,47.48617380857468
61,Disk,47.48617380857468
62,Disk,47.48617380857468
63,Disk,47.48617380857468
64,Disk,47.48617380857468
65,Disk,47.48617380857468
66,Disk,47.48617380857468
67,Disk,47.48617380857468
68,Disk,47.48617380857468
69,Disk,47.48617380857468
70,Disk,47.48617380857468
71,Disk,47.48617887496948
72,Disk,47.48617887496948
73,Disk,47.48617380857468
74,Disk,47.48617380857468
75,Disk,47.48617380857468
76,Disk,47.48617380857468
77,Disk,47.48617380857468
78,Disk,47.48617380857468
79,Disk,47.48617380857468
80,Disk,47.48617380857468
81,Disk,47.48617380857468
82,Disk,47.48617887496948
83,Disk,47.48617380857468
84,Disk,47.48617380857468
85,Disk,47.48617380857468
86,Disk,47.48617887496948
87,Disk,47.48617380857468
88,Disk,47.48617380857468
89,Disk,47.48617380857468
90,Disk,47.48617380857468
91,Disk,47.48617380857468
92,Disk,47.48617380857468
93,Disk,47.48617380857468
94,Disk,47.48617380857468
95,Disk,47.48617380857468
96,Disk,47.48617380857468
97,Disk,47.48617380857468
98,Disk,47.48617380857468
99,Disk,47.48617887496948
100,Disk,47.48617380857468
101,Disk,47.48617380857468
102,Disk,47.48617380857468
103,Disk,47.48617380857468
104,Disk,47.48617380857468
105,Disk,47.48617380857468
106,Disk,47.48617380857468
107,Disk,47.48617380857468
108,Disk,47.48617380857468
109,Disk,47.48617380857468
110,Disk,47.48617380857468
111,Disk,47.48617887496948
112,Disk,47.48617380857468
113,Disk,47.48617380857468
114,Disk,47.48617380857468
115,Disk,47.48617380857468
116,Disk,47.48617380857468
117,Disk,47.48617380857468
118,Disk,47.48617380857468
119,Disk,47.48617380857468
120,Disk,47.48617380857468
121,Disk,47.48617380857468
122,Disk,47.48617380857468
123,Disk,47.48617380857468
124,Disk,47.48617380857468
125,Disk,47.48617380857468
126,Disk,47.48617380857468
127,Disk,47.48617380857468
128,Disk,47.48617380857468
129,Disk,47.48617380857468
130,Disk,47.48617380857468
131,Disk,47.48617380857468
132,Disk,47.48617380857468
133,Disk,47.48617380857468
134,Disk,47.48617380857468
135,Disk,47.48617380857468
136,Disk,47.48617380857468
137,Disk,47.48617380857468
138,Disk,47.48617380857468
139,Disk,47.48617380857468
140,Disk,47.48617380857468
141,Disk,47.48617380857468
142,Disk,47.48617380857468
143,Disk,47.48617380857468
144,Disk,47.48617380857468
145,Disk,47.48617380857468
146,Disk,47.48617380857468
147,Disk,47.48617380857468
148,Disk,47.48617380857468
149,Disk,47.48617380857468
150,Disk,47.48617380857468
151,Disk,47.48617380857468
152,Disk,47.48617380857468
153,Disk,47.48617380857468
154,Disk,47.48617380857468
155,Disk,47.48617380857468
156,Disk,47.48617380857468
157,Disk,47.48617380857468
158,Disk,47.48617380857468
159,Disk,47.48617380857468
160,Disk,47.48617380857468
161,Disk,47.48617380857468
162,Disk,47.48617380857468
163,Disk,47.48617380857468
164,Disk,47.48617380857468
165,Disk,47.48617380857468
166,Disk,47.48617380857468
167,Disk,47.48617380857468
168,Disk,47.48617380857468
169,Disk,47.48617380857468
170,Disk,47.48617380857468
171,Disk,47.48617380857468
172,Disk,47.48617380857468
173,Disk,47.48617380857468
174,Disk,47.48617380857468
175,Disk,47.48617380857468
176,Disk,47.48617380857468
177,Disk,47.48617380857468
178,Disk,47.48617380857468
179,Disk,47.48617380857468
1,Memory,54.91335183382034
2,Memory,54.20758277177811
3,Memory,53.234718441963196
4,Memory,55.655502676963806
5,Memory,56.52967870235443
6,Memory,58.090862929821014
7,Memory,59.16744649410248
8,Memory,59.243746399879456
9,Memory,58.91452193260193
10,Memory,58.31455945968628
11,Memory,57.65527963638306
12,Memory,57.133522033691406
13,Memory,56.94469749927521
14,Memory,57.034357488155365
15,Memory,57.279023826122284
16,Memory,57.59159505367279
17,Memory,57.79968202114105
18,Memory,57.899500131607056
19,Memory,57.89951026439667
20,Memory,57.79555797576904
21,Memory,57.69688993692398
22,Memory,57.611141204833984
23,Memory,57.553293108940125
24,Memory,57.55227982997894
