Day,Type,Value
1,CPU,52.553845119476314
2,CPU,51.67283456921577
3,CPU,52.723828345537186
4,CPU,52.37742507457733
5,CPU,52.61015090942383
6,CPU,53.02086877822876
7,CPU,52.66907072663307
8,CPU,52.42849685549736
9,CPU,52.37289369702339
10,CPU,52.43713684082031
11,CPU,52.505161094665525
12,CPU,52.5316824555397
13,CPU,52.53171222805977
14,CPU,52.51867186427116
15,CPU,52.51383680701256
16,CPU,52.51163364052773
17,CPU,52.511050099134444
18,CPU,52.511556231975554
19,CPU,52.51213381886482
20,CPU,52.512467271089555
21,CPU,52.512467271089555
22,CPU,52.512395817041394
23,CPU,52.51233031749725
24,CPU,52.51232436299324
25,CPU,52.512336272001264
26,CPU,52.512348181009294
27,CPU,52.51236009001732
28,CPU,52.51236604452133
29,CPU,52.51236604452133
30,CPU,52.51236009001732
31,CPU,52.51236009001732
32,CPU,52.51236009001732
33,CPU,52.51236009001732
34,CPU,52.51236009001732
35,CPU,52.51236009001732
36,CPU,52.51236009001732
37,CPU,52.51236009001732
38,CPU,52.51236009001732
39,CPU,52.51236009001732
40,CPU,52.51236009001732
41,CPU,52.51236009001732
42,CPU,52.51236009001732
43,CPU,52.51236009001732
44,CPU,52.51236009001732
45,CPU,52.51236009001732
46,CPU,52.51236009001732
47,CPU,52.51236009001732
48,CPU,52.51236009001732
49,CPU,52.51236009001732
50,CPU,52.51236009001732
51,CPU,52.51236009001732
52,CPU,52.51236009001732
53,CPU,52.51236009001732
54,CPU,52.512354135513306
55,CPU,52.51236009001732
56,CPU,52.51236009001732
57,CPU,52.51236009001732
58,CPU,52.51236009001732
59,CPU,52.51236009001732
60,CPU,52.51236009001732
61,CPU,52.512354135513306
62,CPU,52.51236009001732
63,CPU,52.51236009001732
64,CPU,52.51236009001732
65,CPU,52.51236009001732
66,CPU,52.51236009001732
67,CPU,52.51236009001732
68,CPU,52.51236009001732
69,CPU,52.51236009001732
70,CPU,52.51236009001732
71,CPU,52.51236009001732
72,CPU,52.51236009001732
73,CPU,52.51236009001732
74,CPU,52.51236009001732
75,CPU,52.51236009001732
76,CPU,52.51236009001732
77,CPU,52.51236009001732
78,CPU,52.51236009001732
79,CPU,52.51236009001732
80,CPU,52.51236009001732
81,CPU,52.51236009001732
82,CPU,52.51236009001732
83,CPU,52.51236009001732
84,CPU,52.512354135513306
85,CPU,52.51236009001732
86,CPU,52.51236009001732
87,CPU,52.51236009001732
88,CPU,52.51236009001732
89,CPU,52.51236009001732
90,CPU,52.51236009001732
91,CPU,52.512354135513306
92,CPU,52.51236009001732
93,CPU,52.51236009001732
94,CPU,52.51236009001732
95,CPU,52.51236009001732
96,CPU,52.51236009001732
97,CPU,52.51236009001732
98,CPU,52.51236009001732
99,CPU,52.51236009001732
100,CPU,52.51236009001732
101,CPU,52.51236009001732
102,CPU,52.51236009001732
103,CPU,52.51236009001732
104,CPU,52.51236009001732
105,CPU,52.51236009001732
106,CPU,52.51236009001732
107,CPU,52.51236009001732
108,CPU,52.51236009001732
109,CPU,52.51236009001732
110,CPU,52.51236009001732
111,CPU,52.51236009001732
112,CPU,52.51236009001732
113,CPU,52.51236009001732
114,CPU,52.512354135513306
115,CPU,52.51236009001732
116,CPU,52.51236009001732
117,CPU,52.51236009001732
118,CPU,52.51236009001732
119,CPU,52.51236009001732
120,CPU,52.51236009001732
121,CPU,52.512354135513306
122,CPU,52.51236009001732
123,CPU,52.51236009001732
124,CPU,52.51236009001732
125,CPU,52.51236009001732
126,CPU,52.51236009001732
127,CPU,52.51236009001732
128,CPU,52.51236009001732
129,CPU,52.51236009001732
130,CPU,52.51236009001732
131,CPU,52.51236009001732
132,CPU,52.51236009001732
133,CPU,52.51236009001732
134,CPU,52.51236009001732
135,CPU,52.51236009001732
136,CPU,52.51236009001732
137,CPU,52.51236009001732
138,CPU,52.51236009001732
139,CPU,52.51236009001732
140,CPU,52.51236009001732
141,CPU,52.51236009001732
142,CPU,52.51236009001732
143,CPU,52.51236009001732
144,CPU,52.512354135513306
145,CPU,52.51236009001732
146,CPU,52.51236009001732
147,CPU,52.51236009001732
148,CPU,52.51236009001732
149,CPU,52.51236009001732
150,CPU,52.51236009001732
151,CPU,52.512354135513306
152,CPU,52.51236009001732
153,CPU,52.51236009001732
154,CPU,52.51236009001732
155,CPU,52.51236009001732
156,CPU,52.51236009001732
157,CPU,52.51236009001732
158,CPU,52.51236009001732
159,CPU,52.51236009001732
160,CPU,52.51236009001732
161,CPU,52.51236009001732
162,CPU,52.51236009001732
163,CPU,52.51236009001732
164,CPU,52.51236009001732
165,CPU,52.51236009001732
166,CPU,52.51236009001732
167,CPU,52.51236009001732
168,CPU,52.51236009001732
169,CPU,52.51236009001732
170,CPU,52.51236009001732
171,CPU,52.51236009001732
172,CPU,52.51236009001732
173,CPU,52.51236009001732
174,CPU,52.512354135513306
175,CPU,52.51236009001732
176,CPU,52.51236009001732
177,CPU,52.51236009001732
178,CPU,52.51236009001732
179,CPU,52.51236009001732
1,Disk,43.864537477493286
2,Disk,44.715504348278046
3,Disk,44.68980252742767
4,Disk,45.18441438674927
5,Disk,44.43038284778595
6,Disk,44.393755346536636
7,Disk,44.91556107997894
8,Disk,44.819907546043396
9,Disk,44.6841686964035
10,Disk,44.78110909461975
11,Disk,44.77920413017273
12,Disk,44.7512224316597
13,Disk,44.77088510990143
14,Disk,44.771001636981964
15,Disk,44.765702188014984
16,Disk,44.76638615131378
17,Disk,44.76666986942291
18,Disk,44.76675093173981
19,Disk,44.76667493581772
20,Disk,44.76666480302811
21,Disk,44.76664960384369
22,Disk,44.766654670238495
23,Disk,44.766680002212524
24,Disk,44.76666986942291
25,Disk,44.76666986942291
26,Disk,44.76666986942291
27,Disk,44.76666986942291
28,Disk,44.76666986942291
29,Disk,44.76666986942291
30,Disk,44.76666986942291
31,Disk,44.76666986942291
32,Disk,44.76666986942291
33,Disk,44.76666986942291
34,Disk,44.76666986942291
35,Disk,44.76666986942291
36,Disk,44.76666986942291
37,Disk,44.76666986942291
38,Disk,44.76666986942291
39,Disk,44.76666986942291
40,Disk,44.76666986942291
41,Disk,44.76666986942291
42,Disk,44.76666986942291
43,Disk,44.76666986942291
44,Disk,44.76666986942291
45,Disk,44.76666986942291
46,Disk,44.76666986942291
47,Disk,44.76666986942291
48,Disk,44.76666986942291
49,Disk,44.76666986942291
50,Disk,44.76666986942291
51,Disk,44.76666986942291
52,Disk,44.76666986942291
53,Disk,44.76666986942291
54,Disk,44.76666986942291
55,Disk,44.76666986942291
56,Disk,44.76666986942291
57,Disk,44.76666986942291
58,Disk,44.76666986942291
59,Disk,44.76666986942291
60,Disk,44.76666986942291
61,Disk,44.76666986942291
62,Disk,44.76666986942291
63,Disk,44.76666986942291
64,Disk,44.76666986942291
65,Disk,44.76666986942291
66,Disk,44.76666986942291
67,Disk,44.76666986942291
68,Disk,44.76666986942291
69,Disk,44.76666986942291
70,Disk,44.76666986942291
71,Disk,44.76666986942291
72,Disk,44.76666986942291
73,Disk,44.76666986942291
74,Disk,44.76666986942291
75,Disk,44.76666986942291
76,Disk,44.76666986942291
77,Disk,44.76666986942291
78,Disk,44.76666986942291
79,Disk,44.76666986942291
80,Disk,44.76666986942291
81,Disk,44.76666986942291
82,Disk,44.76666986942291
83,Disk,44.76666986942291
84,Disk,44.76666986942291
85,Disk,44.76666986942291
86,Disk,44.76666986942291
87,Disk,44.76666986942291
88,Disk,44.76666986942291
89,Disk,44.76666986942291
90,Disk,44.76666986942291
91,Disk,44.76666986942291
92,Disk,44.76666986942291
93,Disk,44.76666986942291
94,Disk,44.76666986942291
95,Disk,44.76666986942291
96,Disk,44.76666986942291
97,Disk,44.76666986942291
98,Disk,44.76666986942291
99,Disk,44.76666986942291
100,Disk,44.76666986942291
101,Disk,44.76666986942291
102,Disk,44.76666986942291
103,Disk,44.76666986942291
104,Disk,44.76666986942291
105,Disk,44.76666986942291
106,Disk,44.76666986942291
107,Disk,44.76666986942291
108,Disk,44.76666986942291
109,Disk,44.76666986942291
110,Disk,44.76666986942291
111,Disk,44.76666986942291
